类别,招商银行,光大银行,兴业银行,平安银行,浙商银行,民生银行,浦发银行,中信银行,广发银行,华夏银行
<1.5%,0.06,0.08,0.07,0.04,0.02,0.03,0.05,0.02,0.04,0.06
1.5%至2%,0.02,0.04,0.07,0.05,0.09,0.13,0.05,0.02,0.02,0.06
2%至2.5%,0.07,0.04,0.1,0.09,0.11,0.06,0.07,0.04,0.04,0.1
2.5%至3%,0.13,0.23,0.1,0.16,0.11,0.03,0.1,0.04,0.18,0.02
3%至3.5%,0.07,0.27,0.17,0.14,0.19,0.13,0.15,0.06,0.02,0.19
3.5%至4%,0.17,0.04,0.14,0.2,0.13,0.23,0.07,0.35,0.18,0.06
4%至4.5%,0.35,0.19,0.03,0.18,0.24,0.19,0.34,0.37,0.39,0.42
4.5%至5%,0.09,0.08,0.21,0.09,0.09,0.13,0.1,0.06,0.1,0.04
5%+,0.04,0.04,0.1,0.05,0.02,0.06,0.07,0.06,0.04,0.04
