类别,招商银行,光大银行,兴业银行,平安银行,浙商银行,民生银行,浦发银行,中信银行,广发银行,华夏银行
结构性存款,0.1333,0.1111,0.0227,0.1628,0.0577,0.0625,0.0588,0.1639,0.1429,0.0877
大额存单,0.3778,0.2222,0.1705,0.1163,0.0192,0.0208,0.1471,0.1148,0.1071,0.1053
定期存款,0.0444,0.2222,0.0341,0.0465,0.1923,0.0208,0.1324,0.0656,0.0893,0.1053
外币理财,0.0444,0.0556,0.2273,0.0465,0.0962,0.1042,0.0588,0.0984,0.125,0.1404
活期理财,0.1111,0.1111,0.2273,0.0233,0.3077,0.4167,0.1029,0.082,0.3036,0.2632
贵金属理财,0.0667,0.1111,0.2045,0.3953,0.2885,0.25,0.25,0.2295,0.1964,0.0351
权益类理财,0.2222,0.1667,0.1136,0.2093,0.0385,0.125,0.25,0.2459,0.0357,0.2632
